ID,Title,Date,URL,Image URL,Language,Short Text,Full Text,Comments Count
5027173,Знак гарантии безопасности будет присвоен ряду объектов в Алматы   ,"11 июня 2020,21:19",https://www.zakon.kz/5027173-znak-garantii-bezopasnosti-budet.html,https://static.zakon.kz/uploads/posts/2020-06/2020061121193110532_5fa283f9-ca19-466c-bccb-a854da9efb4f.jpg,ru,"Наличие знака ""Проверено! Здесь чисто и безопасно!"" станет гарантией безопасности.","
В Алматы ряду объектов будет присвоен знак соответствия, сообщает zakon.kz.  Управлении туризма Алматы присвоит знак соответствия ""Проверено! Здесь чисто и безопасно!"" местам размещения, гарантирующим соблюдение санитарно-гигиенических и противоэпидемиологических правил и норм согласно требованиям, - говорится в сообщении. Наличие знака ""Проверено! Здесь чисто и безопасно!"" станет гарантией безопасности. Управление туризма Алматы сообщила, что рабочая группа начала работу 5 июня.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",0
5027172,Страны Евросоюза начнут открывать границы для въезда иностранцев с 1 июля,"11 июня 2020,21:01",https://www.zakon.kz/5027172-strany-evrosoyuza-nachnut-otkryvat.html,https://static.zakon.kz/uploads/posts/2020-06/2020061121003981537_e748ab2e-75ff-4f59-a844.jpg,ru,"Основными критериями для снятия ограничений для стран, не входящих в ЕС, станут уровень заражения и возможности для борьбы с вирусом.","
Европейская комиссия в четверг порекомендовала открыть внешние границы ЕС 1 июля и призвала страны союза согласовать список государств, для жителей которых также будут сняты ограничения, сообщает zakon.kz со ссылкой на РБК. Исполнительный орган ЕС призвал снять все ограничения на внутренние путешествия 15 июня Международные путешествия принципиально важны для туристической отрасли и бизнеса, а также для семейных и дружественных связей, – отметила еврокомиссар по внутренним делам Ильва Юханссон. Основными критериями для снятия ограничений для стран, не входящих в ЕС, станут уровень заражения и возможности для борьбы с вирусом. Запрет на въезд останется в силе для жителей стран с неблагоприятной санитарной обстановкой. Исключениями станут студенты и высококвалифицированные работники. ЕС порекомендовал снять ограничения на приезжающих из Албании, Боснии и Герцеговины, Косово, Черногории, Северной Македонии и Сербии. Власти Кипра указывали, что в июле могут разрешить въезд гражданам Великобритании, а через несколько недель после этого — россиянам.    
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",0
5027171,Военнослужащие проверяют взрывоопасные предметы в пунктах приема металлолома в Актобе ,"11 июня 2020,20:53",https://www.zakon.kz/5027171-voennosluzhashchie-proveryayut.html,https://static.zakon.kz/uploads/posts/2020-06/2020061120522914247_avu.jpg,ru,"Несмотря на огромный риск, сборщики металлов пытаются проникнуть на полигоны в поисках военного лома.","
Военнослужащие регионального командования ""Запад"" совместно с сотрудниками правоохранительных органов и представителями компаний по сбору, реализации лома и отходов цветных и черных металлов начали проверку пунктов приема металлолома на наличие взрывоопасных предметов, сообщает zakon.kz. -         В Актобе действуют 25 пунктов приема металлолома. На сегодняшний день на наличие боеприпасов и деталей от них проверено 11 точек приема металла, – комментирует заместитель командира воинской части по боевой подготовке подполковник Куанышкерей Утемисов. – С актюбинскими предпринимателями и акимами близлежащих к учебному полигону поселков проведены беседы, доведено об  уголовной ответственности за прием черного и цветного металлов военных образцов. К военному металлолому относят широкий круг изделий, не ограничивающийся традиционным понятием. Это не только обломки орудий или фрагменты боеприпасов, а также  товары химической промышленности, в которых хранятся взрывоопасные вещества: цистерны, колбы и жестяные банки. С началом летнего периода обучения в Вооруженных Силах возобновились занятия по боевой подготовке, включающие стрельбы из разнокалиберного вооружения. Несмотря на опасность и огромный риск для жизни и здоровья, сборщики металлов пытаются проникнуть на охраняемые учебные полигоны в поисках военного лома. -         Основная цель проверок пунктов приема металлолома и проведения разъяснительных бесед – безопасность граждан, – отметил  Куанышкерей Утемисов. Военнослужащие призывают охотников за металлоломом ни в коем случае не прикасаться к предметам, даже отдаленно напоминающим взрывоопасные. При находке сообщать в правоохранительные органы и не пытаться самостоятельно транспортировать или сдавать в пункты приема во избежание происшествий.  
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",0
5027170,"В Алматы нетрезвый мужчина напал на охранника ТРЦ из-за того, что не хотел надевать маску","11 июня 2020,20:46",https://www.zakon.kz/5027170-v-almaty-netrezvyy-muzhchina-napal-na.html,https://static.zakon.kz/uploads/posts/2020-06/2020061120454451264_190922233409055e.jpg,ru,Правонарушитель задержан и доставлен в управление полиции.,"
В Алматы нетрезвый мужчина напал на охранника ТРЦ из-за того, что не хотел надевать маску, сообщает zakon.kz. Инцидент произошел у входа в торговый центр Silk Way City. Правонарушитель был задержан и доставлен в управление полиции, где был допрошен. По данному делу составлен административный протокол по статье ""мелкое хулиганство"". Материалы будут переданы в суд, - сообщили в пресс-службе ДП Алматы по данному случаю.   Внимание! На видео содержится нецензурная лексика. 
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",3
5027169,Верховный муфтий высказался о религиозной ситуации в Павлодарской области,"11 июня 2020,20:18",https://www.zakon.kz/5027169-verhovnyy-muftiy-vyskazalsya-o.html,https://static.zakon.kz/uploads/posts/2020-06/2020061120180770353_photo_2020-06-11_10-42-57_41hu5ed.jpg,ru,До населения следует доводить достоверную объективную религиозную информацию.,"
Состоялась встреча Верховного муфтия РК м акима Павлодарской области, сообщает zakon.kz. - Мы уделяем пристальное внимание религиозной ситуации в Павлодарской области, - отметил во время встречи с акимом данного региона Абулхаиром Бактыбайулы Верховный муфтий, председатель Духовного управления мусульман Казахстана Наурызбай кажы Таганулы. По его словам, на сегодня в Павлодарской области действуют 96 мечетей, в них работают 132 священнослужителя. Верховный муфтий считает необходимым усилить информационно-пропагандистскую работу духовенства на местном уровне и выразил надежду, что местные власти  поддержат их в этом вопросе. На его взгляд, до населения следует доводить достоверную объективную религиозную информацию и это является общей задачей. -  Во-вторых, мы надеемся, что акимат поддержит наши усилия по повышению уровня религиозных знаний и опыта имамов и мулл, - отметил далее  Наурызбай кажы Таганулы. - Наша общая цель - служить интересам народа, способствовать укреплению благополучия и единства. Аким области Абулхаир Бактыбайулы выразил намерение расширять сотрудничество в сфере повышения религиозной грамотности представителей духовенства, а также духовного воспитания молодежи, пропаганды преемственности религии и традиций. Кроме того, на встрече была обсуждена важность пропаганды наследия и  высоких нравственных ценностей казахского поэта, мыслителя, историка-востоковеда Машхура Жусупа. Между Верховным муфтием и акимом области достигнута договоренность о реализации совместных проектов в данном направлении. 
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",0
5027168,Еще 131 пациент выздоровел от коронавируса в Казахстане,"11 июня 2020,20:14",https://www.zakon.kz/5027168-eshche-131-patsient-vyzdorovel-ot.html,https://static.zakon.kz/uploads/posts/2020-06/2020061120145664562_200611115817393e.jpg,ru,В Казахстане всего выписаны 8531 человек.,"
Казахстанские врачи вылечили от коронавируса 8531 человек, сообщает zakon.kz. ⠀131 пациентов выписаны проходившие лечение от коронавируса:городе Нур-Султан – 22, городе Алматы - 30, городе Шымкент - 1, Восточно-Казахстанской области - 8, Карагандинской области - 19, Кызылординской области - 31, Костанайской области - 2, Западно-Казахстанской области - 13, Павлодарской области - 1, Мангистауской области - 4.⠀На сегодняшний день на 19.00 час. в Казахстане всего выписаны 8531 человек, из них:⠀ Нур-Султан – 1793 Алматы – 2006 Шымкент – 455 Акмолинская область – 145 Актюбинская область – 252 Алматинская область – 309 Атырауская область – 892 Восточно-Казахстанская область – 92 Жамбылская область – 278 Западно-Казахстанская область – 488 Карагандинская область – 619 Костанайская область – 155 Кызылординская область – 346 Мангистауская область – 204 Павлодарская область – 182 Северо-Казахстанская область – 48 Туркестанская область – 267.    
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",0
5027167,Почему в мае и июне казахстанцы получили разные размеры пенсий,"11 июня 2020,20:03",https://www.zakon.kz/5027167-pochemu-v-mae-i-iyune-kazahstantsy.html,https://static.zakon.kz/uploads/posts/2020-06/2020061120031611529_2019121916255397310_img_7568_1.jpg,ru,Разница получилась в результате недополучения в апреле средств после дополнительной 5% индексации выплат.,"
Почему пенсии казахстанцев, полученные в мае, были больше, чем в июне, рассказали в Министерстве труда и соцзащиты, передает zakon.kz. Как отмечается, разница получилась в результате недополучения в апреле средств после дополнительной 5% индексации выплат. По поручению главы государства от 30 марта 2020 года была произведена дополнительная индексация пенсионных выплат и пособий на 10% в годовом выражении. Таким образом, к повышению, осуществленному с 1 января 2020 года, когда базовая пенсия и государственные пособия были повышены на 5%, а пенсия по возрасту – на 7%, с 1 апреля все выплаты дополнительно были увеличены еще на 5%, - пояснили в министерстве. Как отмечается, повышение в апреле производились в автоматизированном режиме (без истребования дополнительных документов), а в мае пенсионеры получили выплаты с учетом повышения.  При этом недополученная в апреле разница между новым и старым размером была выплачена в мае, одновременно с очередной выплатой пенсий. К примеру, если с января 2020 года размер пенсионных выплат (пенсия по возрасту + базовая пенсия) составлял 90 400 тенге, то с 1 апреля т.г. новый размер пенсионных выплат составляет 94 920 тенге (90 400 тенге + 5% повышение). При этом выплата в мае составила 99 440 тенге (94 920 тенге + доплата за апрель в размере 4 520 тенге). В июне пенсионные выплаты составили положенные 94 920 тенге.  
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",0
5027166,Мошенница брала предоплату за аренду несуществующих квартир в ВКО  ,"11 июня 2020,20:02",https://www.zakon.kz/5027166-moshennitsa-brala-predoplatu-za-arendu.html,https://static.zakon.kz/uploads/posts/2020-06/2020061119502481636_200128172012817e.jpg,ru,При допросе женщина дала признательные показания в совершении пяти фактов мошенничества в Центральной части города.,"
В социальных сетях “Крыша” и “ОЛХ” стали выкладывать объявления о сдаче съемных квартир, по заниженной цене на длительное время, сообщает zakon.kz со ссылкой на Polisia.kz. Владелец квартиры находится за чертой города, и для того что бы он сдал данную квартиру другому клиенту, он просит перевести задаток или полную сумму на “Киви кошелек” или “Каспий кошелек”. Для раскрытия данных преступлений была создана следственно-оперативная группа. В состав, которой вошли сотрудники следственного отделения и сотрудники криминальной полиции. В ходе проведения оперативно-розыскных мероприятий было установлено местонахождение подозреваемых лиц. Сотрудники задержали 34-летнюю жительницу Павлодара. При допросе женщина дала признательные показания в совершении пяти фактов мошенничества в Центральной части города. В настоящее время, в отношении последней проводится следственные действия по статье 190 части 2 пункту 4 УК РК. Также проверяется причастность к другим нераскрытым аналогичным преступлениям.  
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",0
5027165,Кривошеев: Для кыргызских партнеров не стоит цель решения сложившейся ситуации,"11 июня 2020,19:48",https://www.zakon.kz/5027165-krivosheev-dlya-kyrgyzskih-partnerov-ne.html,https://static.zakon.kz/uploads/posts/2020-06/2020061119483621099_2019040312370920972_qctoicky.jpg,ru,На первый план выходит дискредитация действий казахстанской стороны.,"
Экономический обозреватель Денис Кривошеев прокомментировал ситуацию на казахстанско-кыргызской границе, передает zakon.kz. Так, он отметил, что вопрос о ситуации на казахстанско-кыргызской границе рассматривался на заседаниях Коллегии Евразийской экономической комиссии 2 и 9 июня. В соответствии с Методологией разделения препятствий в рамках ЕАЭС (утверждена Решением Коллегии ЕЭК от 14 ноября 2017 года № 152) если препятствие признается барьером, то по нему принимается решение Коллегии ЕЭК, которое подлежит опубликованию (www.eurasiancommission.org) и барьер включается в Реестр препятствий (barriers.eaeunion.org). Спрашивается, если действия казахстанской стороны на казахстанско-кыргызской границе были признаны барьером, как это активно заявляют представители Кыргызской Республики, то почему до сих пор не опубликовано решение Коллегии ЕЭК и барьер не включен в Реестр? – сказал он. По словам Кривошеева, складывается впечатление, что для кыргызских партнеров не стоит цель решения сложившейся ситуации, а на первый план выходит дискредитация действий казахстанской стороны.  Это наводит на определенные выводы, учитывая результаты мониторинга КГД РК, который показал, что китайские шубы с Кыргызстана к нам завозятся якобы по цене 40 тенге за штуку, чтобы меньше платить налогов. При этом продаются по полмиллиона тенге, - сказал он. ""Отсюда и понятно нежелание создавать совместную рабочую группу, вешать пломбы и в целом пытаться решить этот вопрос, который в целом не относится к компетенции ЕАЭС. Это подтвердила и Коллегия ЕЭК в ходе заседания 9 июня т.г., признав правомерными действия КГД РК, учитывая, что налоговый и экспортный контроль относятся исключительно к национальной компетенции"", - заключил Кривошеев.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2
5027164,Открытие туристического сезона в Павлодарской области переносится,"11 июня 2020,19:46",https://www.zakon.kz/5027164-otkrytie-turisticheskogo-sezona-v.html,https://static.zakon.kz/uploads/posts/2020-06/2020061119454586960_78a936a9323d.jpg,ru,В течение минувшей недели в Павлодарской области были зарегистрированы 76 заболевших коронавирусом.,"
В связи со сложившейся в регионе эпидемиологической обстановкой открытие туристического сезона в области переносится с 15 июня на неопределенный срок. Работа туристических объектов также пока не возобновляется, сообщает zakon.kz. Просим жителей и гостей Павлодарской области отнестись к ситуации с пониманием и воздержаться от поездок в зоны отдыха и посещения мест массового скопления людей, - отметили в управлении по развитию туризма и спорта Павлодарской области. Информация о начале туристического сезона будет сообщена дополнительно. Напомним, в течение минувшей недели, с 1 по 7 июня, в Павлодарской области были зарегистрированы 76 заболевших коронавирусом, прирост составил 36,7%. Очередной этап ослабления карантинных мер в регионе планируется при снижении темпов заражения до 5 процентов.  
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",0
